ID	KeyDescription
152	 QCH2A - Hydrocarbon with two neighbors with at least one heteroatom
153	 C=O - Carbon connected to oxygen by a double bond
154	 A!CH2!A - Hydrocarbon with two neighbors connected by a non-ring bond?
155	 NA(A)A - Is there a nitrogen with at least three neighbors?
156	 C-O - Is a Carbon bonded to Oxygen?
157	 C-N - Is a Carbon bonded to Nitrogen?
158	 O>1 - Are there more than one oxygen atoms?
159	 CH3 - Is it a methyl group?
160	 N - Is there a nitrogen?
161	 Is it an Aromatic atom?
162	 Is there a 6M Ring?
163	 O _ Is there an Oxygen?
164	 Ring - Is it an atom in a ring?
165	 Fragments  FIX: this can't be done in SMARTS
